target_word,PoS,example_1,example_2,index1,index2,label
stand,V,Where do you stand on the War ?,"Christian charity , or love , stands first in the rank of gifts .",3,6,T
school,N,The whole school turned out for the game .,The school keeps parents informed .,2,1,T
make,V,To make like a deer caught in the headlights .,"They made nice together , as if their fight never happened .",1,1,T
energy,N,Energy can take a wide variety of forms .,Europeans often laugh at American energy .,0,5,F
work,V,Start from the bottom and work towards the top .,The stitches of the hem worked loose after she wore the skirt many times .,5,5,F
communication,N,How many lines of communication can there be among four people ?,A round archway at the far end of the hallway provided communication to the main chamber .,4,11,T
land,N,He built the house on land leased from the city .,An industrialized land .,5,2,F
feeling,N,She had a feeling of euphoria .,The house gave me a feeling of dread .,3,5,T
liver,N,"You could fry up some chicken livers for a tasty treat . — Nah , I do n't like chicken liver .",I 'd like some goose liver pate .,20,5,T
fall,V,The hills around here fall towards the ocean .,Her weight fell to under a hundred pounds .,4,2,F
mean,V,You never understand what I mean !,Happiness means everything .,5,1,F
charge,V,Will you pay cash or charge the purchase ?,He charged his weapon at me .,5,1,F
be,V,I shall be writing to you soon .,"I would drive you , were I to obtain a car .",2,5,T
action,N,A rifle action .,The Union action of emancipating Southern slaves .,2,2,F
interpreter,N,His paintings reveal a sensitive interpreter of nature .,"Programs written in the BASIC language are usually run through an interpreter , though some can be compiled .",5,11,F
line,N,There is a narrow line between sanity and insanity .,He got out of line .,4,4,F
bed,N,Slices of hard-boiled egg on a bed of spinach .,River bed .,6,1,F
identity,N,Geneticists only recently discovered the identity of the gene that causes it .,It was too dark to determine his identity .,5,7,T
head,N,The head of the stairs .,She gave great head .,1,3,F
vehicle,N,A congregation is a vehicle of group identity .,The play was just a vehicle to display her talents .,4,5,T
cut,V,The football player cut to his left to evade a tackle .,Cut a ticket .,3,0,F
beer,N,I love beer but I know it is bad for you .,Beer is brewed all over the world .,2,0,T
puncture,V,Puncture a tire .,The tire punctured .,0,2,F
art,N,The art of conversation .,How great thou art !,1,3,T
play,V,This speech did n't play well with the American public .,His remarks played to the suspicions of the committee .,4,2,T
coverage,N,Do n't go to lunch if we do n't have enough coverage for the help-desk phones .,The dictionary 's coverage of standard English is excellent .,11,3,T
break,V,Twigs break off of those branches easily .,Break a promise .,1,0,F
do,V,What makes her do this way ?,Do my room in blue .,3,0,F
check,N,He paid all his bills by check .,Put a check mark in the box corresponding to the correct answer .,6,2,F
board,V,It is time to board the aircraft .,The old lady is boarding three men .,4,4,F
drive,V,Drive the forest .,She is driving away at her doctoral thesis .,0,2,F
end,N,We have given it at the end of the section since it involves the calculus .,The so-called glorious experiment came to an inglorious end .,6,8,F
feel,V,You make me feel naked .,She felt small and insignificant .,3,1,T
take,V,I 'll take a pound of that sausage .,She took up her position behind the tree .,2,1,F
practice,N,A hard theory to put into practice .,It is not the local practice to wear shorts to dinner .,6,5,F
catch,V,Catch one 's breath .,The fire caught .,0,2,F
bear,V,I can not bear his constant criticism .,He bore himself with dignity .,3,1,F
kill,V,Cigarettes kill .,Drunken driving kills .,1,2,T
sow,V,"As you sow , so shall you reap .","When I had sown the field , the day 's work was over .",2,3,T
step,N,He paused on the bottom step .,He walked with unsteady steps .,5,4,F
cut,V,Cut recording tape .,Cut from one scene to another .,0,0,F
post,N,He occupied a post in the treasury .,Parcel post .,3,1,T
patch,N,The world economy had a rough patch in the 1930s .,Does n't that patch of clouds looks like a bunny ?,6,3,T
end,N,He came to a bad end .,One end of the box was marked ` This side up ' .,5,1,F
fit,N,A fit of coughing .,I admired the fit of her coat .,1,3,F
keep,V,There 's little to earn and many to keep .,His snoring kept me from falling asleep .,8,2,F
hold,V,I hold with those who say life is sacred .,She can hold an audience spellbound .,1,2,F
do,V,Do nothing .,Will $ 100 do ?,0,3,F
pay,V,Pay attention to .,Pay an obligation .,0,0,F
air,N,There was a tension in the air which made me suspect an approaching storm .,A smell of chemicals in the air .,6,6,T
case,N,"For English , a compositor will ordinarily have two such cases , the upper case containing the capitals and the lower case containing the small letters .",A typical case was the suburban housewife described by a marriage counselor .,14,2,F
draw,V,Draw a conclusion .,He spent the day drawing in the garden .,0,4,F
term,N,The general term of an algebraic equation of the n-th degree .,He was sentenced to a term of six years in prison .,2,5,F
period,N,Picasso 's blue period .,A time period of 30 years .,3,2,T
reek,V,You reek of perfume .,Marshes reeking in the sun .,1,1,F
spend,V,I spend my pocket money in two days .,I spent the time worrying about the future .,1,1,F
rest,N,The boulder came to rest just behind the house after rolling down the mountain .,The ocean was finally at rest .,4,5,T
pull,V,Pull the oars .,Pull the ball .,0,0,F
keep,V,Keep your cool .,Keep your temper .,0,0,T
blow,V,Certain insects are said to blow .,There 's nothing more thrilling to the whale watcher than to see a whale surface and blow .,5,16,F
reason,N,Mankind should develop reason above all other virtues .,"If you do n't give me a reason to go with you , I wo n't .",3,7,F
impression,N,The events left a permanent impression in his mind .,He left the impression of his fingers in the soft mud .,5,3,F
make,V,Make a decision .,Make advances .,0,0,T
lot,N,A lot of money .,He bought a lot on the lake .,1,3,F
dwelling,N,He built a modest dwelling near the pond .,I was doing dwelling in the cave .,4,3,T
block,N,"The store is huge , occupying an entire city block .",He lives in the next block .,9,5,T
raise,V,We visited a farm where they raise chickens .,Raise a family .,6,0,T
work,N,Work equals force times distance .,He arrived at work early today .,0,3,F
carry,V,These bonds carry warrants .,We carry a very large mortgage .,2,1,F
application,N,The application of indexes to tables of data .,The application of maximum thrust .,1,1,T
number,N,A number 13 shoe .,This sweater is an all-wool number .,1,5,F
work,V,The soft metal works well .,Start from the bottom and work towards the top .,3,5,F
advance,N,An advance in health or knowledge .,She rejected his advances .,1,3,F
fire,V,Do n't fire until you see the whites of their eyes .,Oil fires the furnace .,2,1,F
line,N,The line stretched clear around the corner .,You must wait in a long line at the checkout counter .,1,6,T
connect,V,The two streets connect to become a highway .,My computer connected to his computer .,3,2,F
ride,V,Shorts that ride up .,Ship rides at anchor .,2,1,F
hit,V,He hit her hard in the face .,He hit a home run .,1,1,F
head,N,A head of lettuce .,I 've got to go to the head .,1,7,F
cover,N,There 's a $ 15 cover tonight .,They made a cover of a Beatles ' song .,5,3,F
check,V,"Katie 's sick , so I need to check up on her and see if she needs anything .",Check the brakes .,8,0,T
carnival,N,We all got to ride the merry-go-round when the brought their carnival to town .,"When the carnival came to town , every one wanted some cotton candy .",11,2,T
break,V,Break a record .,Voices broke in the air .,0,1,F
air,N,I need some fresh air .,A smell of chemicals in the air .,4,6,T
break,V,Break cigarette smoking .,On the hottest day of the year the refrigerator broke .,0,9,F
behalf,N,In your behalf .,Campaigning in his own behalf .,2,4,T
piece,N,He designed a new piece of equipment .,She bought a lovely piece of china .,4,4,T
process,N,"This product of last month 's quality standards committee is quite good , even though the process was flawed .",Events now in process .,16,3,T
leave,N,She was granted leave to speak .,"The applicant now seeks leave to appeal and , if leave be granted , to appeal against these sentences .",3,4,T
keep,V,The family 's fortune waned and they could not keep their household staff .,Keep count .,9,0,F
tread,V,For fools rush in where angels fear to tread .,Tread grapes to make wine .,8,0,F
year,N,In the year 1920 .,I was born in the year 1950 .,2,5,T
credit,N,"He arrived five minutes late , but to his credit he did work an extra ten minutes at the end of his shift .",He was given credit for his work .,9,3,T
support,V,I support France in the World Cup .,The evidence supports the defendant .,1,2,F
time,N,Time stops for nobody .,These times were erroneously converted between zones .,0,1,F
time,N,When was the last time we went out ? I do n't remember .,"Okay , but this is the last time . No more after that !",4,7,T
stopover,N,They made a stopover to visit their friends .,There is a stopover to change planes in Chicago .,3,3,F
break,V,Let 's break for lunch .,A man broken by the terrible experience of near-death .,2,2,F
side,N,The patient was bleeding on the right side .,Look on the bright side .,7,4,F
voice,N,The Times is not the voice of New York .,The voice of the law .,5,1,T
element,N,A component or constituent element of a system .,In your element .,4,2,F
day,N,He deserves his day in court .,In the days of sailing ships .,3,2,F
believe,V,Should we believe a publication like the National Enquirer ?,You can not believe this man .,2,3,T
well,V,Tears well in her eyes .,The currents well up .,1,2,T
time,N,"Okay , but this is the last time . No more after that !",That 's three times he 's made the same mistake .,7,3,T
beat,V,Beat the egg whites .,Agassi beat Becker in the tennis championship .,0,1,F
life,N,He hoped for a new life in Australia .,He could no longer cope with the complexities of life .,5,9,F
play,V,Can you play on this old recorder ?,Play fair .,2,0,F
play,V,Play football .,Play with her feelings .,0,0,F
use,N,He warned against the use of narcotic drugs .,Ballet is beautiful but what use is it ?,4,5,F
break,V,Break an alibi .,The dam broke .,0,2,F
normalize,V,Normalize relations with China .,There is little hope that the two countries will normalize relations ; their governments seem to hate each other and would just as soon stay on bad terms .,0,9,T
save,V,I 'll save you the trouble .,This will save you a lot of time .,2,2,T
baby,N,The annual report has been my baby since September .,When is your baby due ?,6,3,F
capture,V,Capture the essence of Spring .,She captured all the men 's hearts .,0,1,F
collector,N,He is an avid collector of nineteenth-century postage stamps .,That old piano is just a big dust collector .,4,8,T
drive,V,Drive the game .,He drives a bread truck .,0,1,F
unit,N,Change per unit volume .,The centimetre is a unit of length .,2,4,T
job,N,The barber did a real job on my hair .,Dry rot did the job of destroying the barn .,5,4,T
fire,V,Fire a bullet .,Surrender fires the cold skepticism .,0,1,F
flick,V,Flick a piece of paper across the table .,The lights flicked on and off .,0,2,F
coverage,N,The dictionary 's coverage of standard English is excellent .,There are overlapping coverages on your insurance policies .,3,3,T
session,N,A filming session .,A training session .,2,2,T
reach,V,Our advertisements reach millions .,The sunlight reached the wall .,2,2,F
pull,N,The pull of the current .,Iron fillings drawn by the pull of a magnet .,1,5,T
go,V,How did your interview go ?,How fast does your new car go ?,4,6,F
stay,V,To stay a flat sheet in a steam boiler .,The judge stayed the execution order .,1,2,F
play,V,Play water from a hose .,Pele played for the Brazilian teams in many important matches .,0,1,F
beat,V,Beat the subway fare .,Beat the table with his shoe .,0,0,F
lead,N,We were just waiting for someone to take the lead .,He takes the lead in any group .,9,3,T
moon,N,Men first stepped on the moon in 1969 .,"The average distance to the Moon is 384,400 kilometers .",5,5,T
conclusion,N,His conclusion took the evidence into account .,In conclusion I want to say ...,1,1,F
start,V,To start a rumour .,Start a new job .,1,0,F
case,N,The teaching consists of theory lessons and case studies .,A window case .,7,2,F
detail,N,The essay contained too much detail .,A detail was sent to remove the fallen trees .,5,1,F
call,N,He was ejected for protesting the call .,After two raises there was a call .,6,6,F
sense,N,A sense of self .,A sense of happiness .,1,1,T
make,V,You have to spend money to make money !,He made twenty bucks playing poker last night .,6,1,T
authority,N,He is an authority on corporate law .,"I have the authority to penalise the staff in my department , but not the authority to sack them .",3,3,F
engagement,N,"We are enjoying a long engagement , but have n't yet set a date .",The teacher tried to increase his students ' engagement in class activities .,5,8,F
work,V,Start from the bottom and work towards the top .,This dough does not work easily .,5,4,F
opening,N,There is an opening in the sales department .,A salamander darted out of an opening in the rocks .,3,6,F
seize,V,Birds of prey often seize small mammals .,To seize smuggled goods .,4,1,F
order,N,The house is in order .,Magnolias belong to the order Magnoliales .,4,4,F
fatigue,N,Political fatigue .,After watching TV with her husband she had a bad case of football fatigue .,1,13,T
text,N,He wants to reconstruct the original text .,They handed out the printed text of the mayor 's speech .,6,5,T
cut,V,The sweat cut little rivulets into her face .,Cut a movie scene .,2,0,F
howl,N,He gave a howl of pain .,Howls of laughter .,3,0,T
contraction,N,` wo n't ' is a contraction of ` will not ' .,` o'clock ' is a contraction of ` of the clock ' .,6,5,T
pay,V,Pay a visit .,Pay a call .,0,0,T
play,V,Play the stock market .,Play with her feelings .,0,0,T
play,N,They gave full play to the artist 's talent .,We saw a two-act play in the theatre .,3,4,F
execute,V,I 'll execute your orders as soon as this meeting is adjourned .,Execute the decision of the people .,2,0,T
lifesaving,N,"I 'm normally a big fan of lifesaving , but in his case we can make an exception .",He took a course in lifesaving .,7,5,T
cut,N,The unkindest cut of all .,The mayor proposed extensive cuts in the city budget .,2,4,F
see,V,I can see what will happen .,I can see a risk in this strategy .,2,2,T
know,V,I know that the President lied to the people .,It is vital that he not know .,1,6,T
blaze,V,Blaze a trail .,Meteors blazed across the atmosphere .,0,1,F
didacticism,N,The didacticism of the 19th century gave birth to many great museums .,The didacticism expected in books for the young .,1,1,T
give,V,Give a yelp .,Give a gulp .,0,0,T
turn,V,Turn the earth in the Spring .,The cream has turned -- we have to throw it out .,0,3,F
implication,N,He was suspected of implication in several robberies .,The expectation was spread both by word and by implication .,4,9,F
shake,V,Shake one 's head .,He was shaken from his dreams .,0,2,F
stay,V,To stay a flat sheet in a steam boiler .,"After the trial period , she was asked to stay on and work full-time .",1,9,F
recognition,N,The law was a recognition of their civil rights .,The recognition of the Rio Grande as a boundary between Mexico and the United States .,4,1,T
take,V,I 'll take the blue plates .,Take any one of these cards .,2,0,T
lift,V,You never lift a finger to help me !,Lift a load .,2,0,T
charge,N,He was arrested on a charge of larceny .,The admission charge .,5,2,F
play,V,Play the stock market .,They played games on their opponents .,0,1,T
play,V,Charlie likes to play Mary .,The engine has a wheel that is playing in a rack .,3,7,F
stress,N,"He presided over the economy during the period of the greatest stress and danger""- R.J.Samuelson .",She endured the stresses and strains of life .,11,3,T
memorability,N,True memorability of phrase .,Continuous change results in lack of memorability .,1,6,T
convention,N,Political convention .,The EU installed an inter-institutional Convention to draft a European constitution .,1,5,T
window,N,They had a window of less than an hour when an attack would have succeeded .,Launch window .,3,1,T
night,N,How do you sleep at night when you attack your kids like that ! ?,It vanished into the night .,5,4,F
series,N,A comedy series .,His coin collection included the complete series of Indian-head pennies .,2,6,F
come,V,She could not come because she was too upset .,He came after a few minutes .,3,1,T
replace,V,We need to replace the secretary that left a month ago .,Mary replaced Susan as the team 's captain and the highest-ranked player in the school .,3,1,F
break,V,Is it your or my turn to break ?,Things began breaking bad for him when his parents died .,7,2,F
travel,N,He enjoyed selling but he hated the travel .,Travel to Spain .,7,0,T
cut,V,Cut a hole .,The sweat cut little rivulets into her face .,0,2,T
hang,V,Hang a door .,Hang the venison for a few days .,0,0,F
leave,N,She was granted leave to speak .,He took his leave .,3,3,F
bear,V,Bear a resemblance .,Bear a signature .,0,0,T
degree,N,He earned his degree at Princeton summa cum laude .,There are 360 degrees in a circle .,3,3,F
connection,N,The connection between overeating and obesity .,There was a connection between eating that pickle and having that nightmare .,1,3,F
militate,V,To militate against the possibility of his election .,Politeness militated against this opinion being expressed .,1,1,T
language,N,The language introduced is standard throughout the text .,He taught foreign languages .,1,3,T
wildness,N,Liza had always had a tendency to wildness .,The element of wildness in his behavior was a protest against repressive convention .,7,3,T
escape,N,They tried to stop the escape of gas from the damaged pipe .,The prisoners made their escape by digging a tunnel .,5,4,F
academy,N,The Academy of Music .,Academies of literature and philology .,1,0,F
know,V,I know Latin .,Adam knew Eve .,1,1,F
lady,N,A lady doctor .,A chauffeur opened the door of the limousine for the grand lady .,1,11,T
night,N,From noon till night .,They worked from morning to night .,3,5,T
carry,V,He had drunk more than he could carry .,The troops carried the town after a brief fight .,7,2,F
suck,V,Suck the poison from the place where the snake bit .,This sucks !,0,1,F
book,N,He bought a book of stamps .,They run things by the book around here .,3,5,F
couple,V,Now the conductor will couple the train cars .,I 've coupled our system to theirs .,4,2,T
back,V,I back you all the way .,Back this enterprise .,1,0,T
vegetate,V,"After a hard day 's work , I vegetate in front of the television .",The fields vegetate vigorously .,8,2,F
hit,V,One boy hit the other .,I have to hit the MAC machine before the weekend starts .,2,3,F
run,V,Do n't run that software unless you have permission . ' .,The dogs are running deer .,2,3,F
run,V,Run an errand .,Who are these people running around in the building ?,0,4,F
block,N,"The store is huge , occupying an entire city block .",He reserved a large block of seats .,9,4,F
play,V,Play with her feelings .,She plays on her clients ' emotions .,0,1,F
know,V,I know it 's time .,He knows about 19th century politics .,1,1,T
define,V,I define myself as a techno-anarchist .,Define ` sadness ' .,1,0,F
understand,V,I understand wanting more .,I understand how to do it .,1,1,T
gravitation,N,"Gravitation can not be held responsible for people falling in love ""-- Albert Einstein .","Gravitation är svagare än elektromagnetismen , men påverkar all materia och energi .",0,0,T
carry,V,These bonds carry warrants .,Sound carries well over water .,2,1,F
pay,V,Pay a call .,You 'll pay for this !,0,2,F
run,V,My computer is too old to run the new OS .,I will run the sample .,6,2,T
snap,V,To snap a whip .,The pipe snapped .,1,2,F
work,V,Work the raisins into the dough .,Do you want to work after the age of 60 ?,0,4,F
arousal,N,The mechanism for arousal from sleep .,The animal undergoes regular spells of arousal .,3,6,T
space,N,They tested his ability to locate objects in space .,The spaces are the notes F-A-C-E .,8,1,F
operation,N,A multinational operation .,A large-scale farming operation .,2,3,T
make,V,We should make Cincinnati by 7 tonight .,We barely made it to the finish line .,2,2,T
check,N,He paid all his bills by check .,"I was not carrying cash , so I wrote a check for the amount .",6,10,T
appointment,N,I 'm leaving work early because I have a doctor 's appointment .,They made an appointment to meet at six .,11,3,T
floor,N,The fire spared the forest floor .,The room has a wooden floor .,5,5,F
lap,N,The lap of the shingles should be at least ten inches .,The dog 's laps were warm and wet .,1,3,F
give,V,Give the orders .,I 'm going to give my wife a necklace for her birthday .,0,4,F
grow,V,Her hair does n't grow much anymore .,Corn does n't grow here .,4,3,T
beat,V,Beat one 's breast .,This sure beats work !,0,2,F
company,N,A hook-and-ladder company .,It took six companies to put out the fire .,2,3,T
draw,V,Draw a weapon .,Draw a wagon .,0,0,F
raise,V,We visited a farm where they raise chickens .,A few important questions were raised after the attack .,6,5,F
come,V,He 's come a long way .,Which letter comes before Y ?,2,2,F
head,N,12 head of big cattle and 14 head of branded calves .,A reduction in the assessment per head of sheep .,1,6,T
stay,V,We stayed in Hawaii for a week .,I can only stay for an hour .,1,3,F
cup,N,The cup of her bra .,He wore a jock strap with a metal cup .,1,8,T
life,N,Social life .,City life .,1,1,T
thing,N,She has a thing about him .,He has a thing about seafood .,3,3,T
head,N,12 head of big cattle and 14 head of branded calves .,At five years of age this head of cattle is worth perhaps $ 40 .,1,6,T
breath,N,He was fighting to his last breath .,He took a deep breath and dived into the pool .,6,4,T
keep,V,Can I keep my old stuffed animals ?,She never keeps her promises .,2,2,F
hyponym,N,Dog is a hyponym of animal .,British is a hyponym of European .,3,3,T
post,N,If you hurry you 'll catch the post .,This military post provides an important source of income for the town nearby .,7,2,F
touch,N,"Suddenly , in the crowd , I felt a touch at my shoulder .",This dish could use a touch of garlic .,9,5,F
fall,V,Fall by the wayside .,We must stand or fall .,0,4,T
head,N,The beer had a large head of foam .,Admission is three dollars a head .,5,5,F
scrap,N,There was not a scrap left .,She jotted it on a scrap of paper .,4,5,T
stand,N,They took a firm stand against copyright infringement .,They cut down a stand of trees .,4,4,F
block,V,Block an attack .,The offensive linemen tried to block the blitz .,0,5,T
take,V,Take action .,Take vengeance .,0,0,T
head,N,The head of a comet .,She gave great head .,1,3,F
faith,N,He cherished the faith of a good woman .,A member of his own faith contradicted him .,3,5,F
declare,V,Declare dividends .,Declare bankruptcy .,0,0,F
work,V,He used pliers to work the wire into shape .,The salesman works the Midwest .,4,2,F
job,N,It is always a job to contact him .,Estimates of the city 's loss on that job ranged as high as a million dollars .,4,8,F
bestow,V,Bestow an honor on someone .,Medals were bestowed on the winning team .,0,2,T
drag,N,He took a drag on his cigarette and expelled the smoke slowly .,He performed in drag .,3,3,F
grater,N,I 'm making coleslaw ; do you know where the grater is ?,Modern cheese graters have more than one side so the cheese can be sliced in different ways .,10,2,T
boy,N,Steve is a boy of 16 .,She made the boy brush his teeth every night .,3,3,T
strike,V,We must strike the enemy 's oil fields .,Panic struck me .,2,1,F
play,N,The ball was still in play .,Insiders said the company 's stock was in play .,5,8,T
head,N,The head of the list .,I 've got to go to the head .,1,7,F
tendency,N,Fabric with a tendency to shrink .,Denim has a tendency to fade .,3,3,F
gather,V,Gather the close family members .,Gather some stones .,0,0,F
line,N,The answer to the comprehension question can be found in the third line of the accompanying text .,A nice line of shoes .,12,2,F
corner,N,A corner on the silver market .,A piano was in one corner of the room .,1,5,F
correct,V,Engineers will work to correct the effects or air resistance .,Correct the mistakes .,4,0,F
split,N,He inserted the wedge into a split in the log .,He demanded his split before they disbanded .,6,3,F
cup,N,Put the flag back in the cup .,He swore as the ball rimmed the cup and rolled away .,6,7,T
window,N,They had a window of less than an hour when an attack would have succeeded .,You have a two-hour window of clear weather to finish working on the lawn .,3,4,T
get,V,She did n't get to Chicago until after midnight .,Get permission to take a few days off from work .,3,0,F
run,N,She got a run in her stocking .,I have a run in my stocking .,3,3,T
bed,N,Slices of hard-boiled egg on a bed of spinach .,Lake bed .,6,1,F
due,N,Give him his due — he is a good actor .,Give the devil his due .,3,4,T
coordinate,V,Coordinate our efforts .,"Coordinate the painters , masons , and plumbers .",0,0,T
population,N,The African-American population of Salt Lake City has been increasing .,"People come and go , but the population of this town has remained approximately constant for the past decade .",2,7,T
feel,V,I feel that we need to try harder .,I felt my way cautiously through the dangerous business maneuver .,1,1,F
air,N,The flock of birds took to the air .,I need some fresh air .,7,4,T
communicate,V,Many deaf people communicate with sign language .,He and his sons have n't communicated for years .,3,6,T
pull,V,Pull your knees towards your chin .,Pull the rope .,0,0,T
call,N,After two raises there was a call .,"The characters in Henry James ' novels are forever paying calls on each other , usually in the parlor of some residence .",6,10,F
run,V,Run riot .,We ran the ad three times .,0,1,F
application,N,A novel application of electronics to medical diagnosis .,He has tried several different word processing applications .,2,7,F
rub,N,Give that lamp a good rub and see if any genies come out .,He gave the hood a quick rub .,5,6,T
see,V,You have to be a good observer to see all the details .,I saw their laughing and joking .,8,1,T
grow,V,An oak tree will grow from that acorn .,The gardener grew that acorn into an oak tree .,4,2,T
take,V,How should I take this message ?,You ca n't take credit for this !,3,3,T
floor,N,The room has a wooden floor .,We spread our sleeping bags on the dry floor of the tent .,5,8,T
evil,N,Attempts to explain the origin of evil in the world .,Do n't go giving me evils !,6,5,T
know,V,I know that the President lied to the people .,She knew of our plan .,1,1,T
break,V,The book dealer would not break the set .,Break off the negotiations .,5,0,F
carry,V,I carry these thoughts in the back of my head .,Amanda carried the package from home to New York .,1,1,F
motion,N,Police controlled the motion of the crowd .,He made a motion to adjourn .,3,3,F
way,N,Do you know the way to the airport ?,They split the loot three ways .,4,5,F
pain,N,The pain of loneliness .,The patient developed severe pain and distension .,1,4,F
flux,N,It is important to use flux when soldering or oxides on the metal will prevent a good bond .,His opinions are in flux .,5,4,F
come,V,Your wish will come true .,Which letter comes before Y ?,3,2,T
turn,V,Turn your face to the wall .,Turn your dance partner around .,0,0,T
time,N,It took more than half my time .,Take time to smell the roses .,6,1,T
poise,V,To poise the scales of a balance .,"I poised the crowbar in my hand , and waited .",1,1,T
be,V,I shall be writing to you soon .,We liked to chat while we were eating .,2,6,T
know,V,I know it 's time .,She knew of our plan .,1,1,T
use,V,Use the plastic bags to store the food .,We only use Spanish at home .,0,2,T
call,V,Call a football game .,I tried to call you all night .,0,3,F
principle,N,The principle of the internal combustion engine .,The principles of democracy .,1,1,T
see,V,I want to see whether she speaks French .,I went to see my friend Mary the other day .,3,3,F
breath,N,Not a breath of scandal ever touched her .,The child 's breath came quickly and unevenly .,2,3,F
follow,V,Can you follow her argument ?,The police had been following him for weeks but they could not prove his involvement in the bombing .,2,4,F
finance,V,Can we finance the addition to our home ?,His parents financed his college education .,2,2,T
snap,V,To snap a whip .,To snap a fastener .,1,1,T
test,V,She does n't test well .,She tested high on the LSAT and was admitted to all the good law schools .,3,1,F
air,N,An air of mystery .,The program was on the air from 9 til midnight .,1,5,F
hold,V,Hold your tongue .,About a dozen animals were held inside the stockade .,0,5,F
pass,N,A mountain pass .,We got through the pass before it started to snow .,2,4,T
head,N,A head of cauliflower .,He is two heads taller than his little sister .,1,3,F
be,V,I shall be writing to you soon .,The sky is a deep blue today .,2,2,T
practice,V,You should practice playing piano every day .,Pianists practice scales .,2,1,T
hand,N,"On the one hand ... , but on the other hand ...",A good hand .,3,2,F
run,V,Run a new program on the Mac .,My computer is too old to run the new OS .,0,6,T
origin,N,Mineral origin .,Origin in sensation .,1,0,T
crystallize,V,He tried to crystallize his thoughts .,My ideas crystallized overnight .,3,2,T
treat,V,I like to treat myself to a day at a spa when I am depressed .,Treat the infection with antibiotics .,3,0,F
rise,V,Rise to a challenge .,The building rose before them .,0,2,F
acknowledge,V,We must acknowledge the kindness she showed towards us .,* They his gifts acknowledged none . - John Milton .,2,4,T
fatigue,N,He was hospitalized for extreme fatigue .,He was suffering from museum fatigue .,5,5,F
load,V,Load the camera .,He loaded his gun carefully .,0,1,T
cut,V,Cut paper dolls .,The Vietnamese cut a lot of timber while they occupied Cambodia .,0,2,F
hold,V,Hold in place .,Hold your breath .,0,0,F
charge,N,This cartridge has a powder charge of 50 grains .,The battery needed a fresh charge .,5,5,F
run,N,She got a run in her stocking .,The ship made its run in record time .,3,4,F
term,N,A prison term .,The general term of an algebraic equation of the n-th degree .,2,2,F
find,V,These aspects of civilization do not find expression or receive an interpretation .,She found that he had lied to her .,6,1,F
refill,N,He got a refill for his notebook .,He got a refill for his ball-point pen .,3,3,T
optimization,N,In an optimization problem we seek values of the variables that lead to an optimal value of the function that is to be optimized .,The simultaneous optimization of growth and profitability .,2,2,T
call,V,The engineer called round whilst you were away .,Call roll .,3,0,F
mine,N,This diamond comes from a mine in South Africa .,Most coal and ore comes from open-pit mines nowadays .,5,7,T
see,V,Can you see the bird in that tree ?,I saw her bake the cake .,2,1,T
point,N,He held me up at the point of a gun .,The one with the most points will win the game .,6,5,F
call,N,He placed a phone call to London .,I received several calls today .,4,3,T
unionize,V,We do n't allow people to come into our plant and try to unionize the workers .,My uncle got roughed up by some corporate thugs after they caught him trying to unionize their workers .,13,15,T
title,N,"A good title to an estate , or an imperfect title .",His title to fame .,2,1,F
be,V,I shall be writing to you soon .,The woman is walking .,2,2,T
class,N,An emerging professional class .,Flirting is not unknown in college classes .,3,6,F
pay,V,You 'll pay for this opinion later .,He was allowed to go as soon as he paid .,2,9,F
sight,N,The sight of his wife brought him back to reality .,To gain sight of land .,1,2,F
origin,N,The rumor had its origin in idle gossip .,Mineral origin .,4,1,T
trump,N,A trump can take a trick even when a card of a different suit is led .,Clubs were declared trumps .,1,3,T
course,N,We offer seafood as the first course .,He took a course in basket weaving .,6,3,F
give,V,Give a course .,I gave two sons to the war .,0,1,F
gather,V,Let 's gather in the dining room .,Gather some stones .,2,0,F
light,N,"Although he saw it in a different light , he still did not understand .",Do you have a light ?,7,4,F
mine,N,He came out of the coal mine with a face covered in black .,Most coal and ore comes from open-pit mines nowadays .,6,7,T
be,V,I shall be writing to you soon .,This building is three hundred years old .,2,2,T
see,V,I 'll see you to the door .,I want to see results .,2,3,F
play,V,Play sports .,Play with her feelings .,0,0,F
rig,V,Rig an election .,Rig prices .,0,0,F
grip,N,The grip of a sword .,There are several good grips on the northern face of this rock .,1,4,T
series,N,The Post Office issued a series commemorating famous American entertainers .,His coin collection included the complete series of Indian-head pennies .,5,6,T
give,V,Give an excuse .,The roof finally gave under the weight of the ice .,0,3,F
work,V,She knows how to work the system .,Is your husband working again ?,4,3,F
go,V,The washing machine wo n't go unless it 's plugged in .,The policemen went from door to door looking for the suspect .,5,2,F
beat,V,The grandfather clock beat midnight .,Beat one 's breast .,3,0,F
hold,V,Hold in place .,I hold with those who say life is sacred .,0,1,F
demand,N,There is a demand for jobs .,There is a demand for voluntary health workers in the poorer parts of Africa and Asia .,3,3,T
hold,V,"To carry well , i.e. to hold the head high , with arching neck .",This theory holds for all irrational numbers .,6,2,F
blow,V,Blow on the soup to cool it down .,The fuse blew .,0,2,F
mean,V,I mean to go to Baddeck this summer .,I mean no harm .,1,1,T
contact,N,Litmus paper turns red on contact with an acid .,They forget to solder the contacts .,5,5,F
trouble,N,He got several girls in trouble .,One trouble after another delayed the job .,5,1,F
crunch,N,A financial crunch .,An end-of-the year crunch .,2,3,T
meeting,N,There was an informal meeting in my living room .,His meeting with the salesmen was the high point of his day .,4,1,F
